date,price,day,day_of_week,month,lag_1,lag_2,lag_3,lag_7
2026-04-26 01:00:25.674,77504.17855812809,21,6,4,77619.14219872655,77571.92469081761,77517.55017621993,77268.59468461889
2026-04-26 02:00:03.806,77474.23663746598,21,6,4,77504.17855812809,77619.14219872655,77571.92469081761,77327.62457986774
2026-04-26 03:00:45.470,77508.39871110146,21,6,4,77474.23663746598,77504.17855812809,77619.14219872655,77334.26544839946
2026-04-26 04:00:12.276,77421.9680597692,21,6,4,77508.39871110146,77474.23663746598,77504.17855812809,77485.94368156035
2026-04-26 05:00:41.556,77780.732585964,21,6,4,77421.9680597692,77508.39871110146,77474.23663746598,77517.55017621993
2026-04-26 06:00:39.567,78011.43215971511,21,6,4,77780.732585964,77421.9680597692,77508.39871110146,77571.92469081761
2026-04-26 07:00:01.656,77968.04637604058,21,6,4,78011.43215971511,77780.732585964,77421.9680597692,77619.14219872655
2026-04-26 08:00:48.885,78104.00311325732,21,6,4,77968.04637604058,78011.43215971511,77780.732585964,77504.17855812809
2026-04-26 09:00:25.361,78046.40161728268,21,6,4,78104.00311325732,77968.04637604058,78011.43215971511,77474.23663746598
2026-04-26 10:00:48.136,78007.27442207371,21,6,4,78046.40161728268,78104.00311325732,77968.04637604058,77508.39871110146
2026-04-26 11:00:42.207,78005.02861473465,21,6,4,78007.27442207371,78046.40161728268,78104.00311325732,77421.9680597692
2026-04-26 12:00:14.977,78110.88161863454,21,6,4,78005.02861473465,78007.27442207371,78046.40161728268,77780.732585964
2026-04-26 13:00:39.504,77838.15248676843,21,6,4,78110.88161863454,78005.02861473465,78007.27442207371,78011.43215971511
2026-04-26 14:00:52.097,77940.84317164119,21,6,4,77838.15248676843,78110.88161863454,78005.02861473465,77968.04637604058
2026-04-26 15:00:57.502,78104.22069639667,21,6,4,77940.84317164119,77838.15248676843,78110.88161863454,78104.00311325732
2026-04-26 16:00:43.334,78050.75607592058,22,6,4,78104.22069639667,77940.84317164119,77838.15248676843,78046.40161728268
2026-04-26 17:00:56.563,77985.65557780031,22,6,4,78050.75607592058,78104.22069639667,77940.84317164119,78007.27442207371
2026-04-26 18:00:28.642,78034.51980737594,22,6,4,77985.65557780031,78050.75607592058,78104.22069639667,78005.02861473465
